State,Population,Year
New Jersey,9267130,2021
New Mexico,2115877,2021
New York,19835913,2021
North Carolina,10551162,2021
North Dakota,774948,2021
Ohio,11780017,2021
Oklahoma,3986639,2021
Oregon,4246155,2021
Pennsylvania,12964056,2021
Rhode Island,1095610,2021
South Carolina,5190705,2021
South Dakota,895376,2021
Tennessee,6975218,2021
Texas,29527941,2021
Utah,3337975,2021
Vermont,645570,2021
Virginia,8642274,2021
Washington,7738692,2021
West Virginia,1782959,2021
Wisconsin,5895908,2021
Wyoming,578803,2021
Alabama,5074296,2022
Alaska,733583,2022
Arizona,7359197,2022
Arkansas,3045637,2022
California,39029342,2022
Colorado,5839926,2022
Connecticut,3626205,2022
Delaware,1018396,2022
Florida,22244823,2022
Georgia,10912876,2022
Hawaii,1440196,2022
Idaho,1939033,2022
Illinois,12582032,2022
Indiana,6833037,2022
Iowa,3200517,2022
Kansas,2937150,2022
Kentucky,4512310,2022
Louisiana,4590241,2022
Maine,1385340,2022
Maryland,6164660,2022
Massachusetts,6981974,2022
Michigan,10034118,2022
Minnesota,5717184,2022
Mississippi,2940057,2022
Missouri,6177957,2022
Montana,1122867,2022
Nebraska,1967923,2022
Nevada,3177772,2022
New Hampshire,1395231,2022
New Jersey,9261699,2022
New Mexico,2113344,2022
New York,19677151,2022
North Carolina,10698973,2022
North Dakota,779261,2022
Ohio,11756058,2022
Oklahoma,4019800,2022
Oregon,4240137,2022
Pennsylvania,12972008,2022
Rhode Island,1093734,2022
South Carolina,5282634,2022
South Dakota,909824,2022
Tennessee,7051339,2022
Texas,30029572,2022
Utah,3380800,2022
Vermont,647064,2022
Virginia,8683619,2022
Washington,7785786,2022
West Virginia,1775156,2022
Wisconsin,5892539,2022
Wyoming,581381,2022
